name,Categoria,address,CodiceIdentificativo,telephone,email,website,iso3
Profumo Di Pane Piazza,Aziende CerveteriOsterie CerveteriNegozi CerveteriPanetterie Cerveteri,"Piazza Aldo Moro, 15, 00052 Cerveteri RM, Italia  ",1042600,329 788 3342,,,
WIND Negozio Cerveteri Largo Almunecar 6,Aziende CerveteriNegozi Cerveteri,"Largo Almunecar, 6, 00052 Cerveteri RM, Italia  ",1042599,06 994 2871,,,
Chiesa Madonna dei Canneti,Aziende CerveteriChiese CerveteriLuoghi di culto Cerveteri,"00052 Cerveteri RM, Italia  ",1040351,,,,
negozi cerveteri,Aziende Cerveteri,"Via Sant' Angelo, 43, 00052 Cerveteri RM, Italia  ",1038496,06 9893 5138,,,
Caf Coldiretti - Impresa Verde Roma S.R.L.,Aziende Cerveteri,"Via Sant'Antonio, 62, 00052 Cerveteri RM, Italia  ",1038493,06 9980 4788,,,
Elettromeccanica Mazzone Italo,Aziende Cerveteri,"Via Monte Zebio, 22, 00052 Cerveteri RM, Italia  ",1038488,06 8760 7349,,,
STUDIO FOTOGRAFICO TROGU,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di elettronica Cerveteri,"Viale Alessandro Manzoni, 78, 00052 Cerveteri RM, Italia  ",1037814,338 905 8568,,,
Arana molino,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Via Ceretana, 49 d, 00052 Cerveteri RM, Italia  ",1037813,366 339 4728,,,
Emozioni Di Biscetti Romina,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Via S. Maria, 20, 00052 Cerveteri RM, Italia  ",1037812,,,,
casa uno srls,Aziende CerveteriCentri commerciali Cerveteri,"Viale Alessandro Manzoni, 33, 00052 Cerveteri RM, Italia  ",1032052,,,,
Te Travagliati Edoardo,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di arredamento Cerveteri,"Via Liguria, 15, 00052 Cerveteri RM, Italia  ",1031785,06 994 2583,,,
Marini Elettrodomestici,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Via Settevene Palo, 233, 00052 Cerveteri RM, Italia  ",1030738,06 994 2454,,,
digitalesi,Aziende Cerveteri,"Via Settevene Palo, 224, 00052 Cerveteri RM, Italia  ",1028341,06 6400 2307,,,
Consulente Del Lavoro Rag. Claudio Bartocci,Aziende Cerveteri,"Via Armando Diaz, 10, 00052 Cerveteri RM, Italia  ",1027408,06 994 2017,,,
L'Ortica del Venerdì,Aziende Cerveteri,"Piazza Risorgimento, 4, 00052 Cerveteri RM, Italia  ",1027345,06 994 1736,,,
Pelletteria Particolari,Aziende CerveteriNegozi Cerveteri,"Via Roma, 14, 00052 Cerveteri RM, Italia  ",1026719,06 994 0032,,,
Inquadro - La Boccetta Cornici La Boccetta Cornici Di Uzzo Fabio,Aziende CerveteriNegozi Cerveteri,"Largo della Boccetta, 25, 00052 Cerveteri RM, Italia  ",1026720,393 871 4456,,,
Tomba dei Rilievi,Aziende CerveteriMusei Cerveteri,"00052 Cerveteri RM, Italia  ",1019627,,,,
Dr. Piccioni Marcotelefono sudiot,Aziende CerveteriErboristerie CerveteriMedici Cerveteri,"Viale Alessandro Manzoni, 82, 00052 Cerveteri RM, Italia  ",1018266,,,,
Generali Italia Agenzia di CERVETERI,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Via Ceretana, 55, 00052 Cerveteri RM, Italia  ",1013800,06 9724 8206,,,
Papi Fausto,Aziende CerveteriNegozi CerveteriMeccanici Auto Cerveteri,"Via Settevene Palo, 240, 00052 Cerveteri RM, Italia  ",1000673,06 995 2014,,,
Sari Autoricambi,Aziende CerveteriNegozi CerveteriMeccanici Auto Cerveteri,"00052 Cerveteri RM, Italia  ",1000674,,,,
La MR Service,Aziende CerveteriAgenzie Immobiliari Cerveteri,"Viale Alessandro Manzoni, 53, 00052 Cerveteri RM, Italia  ",996849,06 994 1657,,,
Stima Casa,Aziende CerveteriAgenzie Immobiliari Cerveteri,"Via Settevene Palo, 225, 00052 Cerveteri RM, Italia  ",996846,,,,
Dizeta Immobiliare,Aziende CerveteriAgenzie Immobiliari Cerveteri,"00052 Cerveteri RM, Italia  ",996847,,,,
Diemme Immobiliare,Aziende CerveteriAgenzie Immobiliari Cerveteri,"Via Settevene Palo, 192/a, 00052 Cerveteri RM, Italia  ",996848,339 320 0334,,,
Flower Style,Aziende CerveteriNegozi CerveteriFiorai Cerveteri,"Via Settevene Palo, 145, 00052 Cerveteri RM, Italia  ",993466,,,,
TotaLook Parrucchiere,Aziende CerveteriParrucchieri Cerveteri,"Viale Alessandro Manzoni, 62, 00052 Cerveteri RM, Italia  ",988754,,,,
Maury's,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Via G. Baldinelli, 18, 00052 Cerveteri RM, Italia  ",988388,,,,
Longarini Luca,Aziende CerveteriNegozi CerveteriNegozi di casalinghi Cerveteri,"Viale Alessandro Manzoni, 47, 00052 Cerveteri RM, Italia  ",988389,06 995 1225,,,
Necropoli rupestre di Greppe S. Angelo,Aziende CerveteriMusei Cerveteri,"Via Sant'Antonio, 00052 Cerveteri RM, Italia  ",987177,,,,
Tumulo Mengarelli,Aziende CerveteriMusei Cerveteri,"Via della Necropoli, 43, 00052 Cerveteri RM, Italia  ",987178,,,,
Necropoli Etrusca del Sorbo,Aziende CerveteriMusei Cerveteri,"00052 Cerveteri RM, Italia  ",987179,,,,
Tomba Della Cornice Rossa,Aziende CerveteriMusei Cerveteri,"Via della Necropoli, 48-50, 00052 Cerveteri RM, Italia  ",987175,,,,
Tomba Delle Iscrizioni Graffite,Aziende CerveteriMusei Cerveteri,"Via della Necropoli, 51-55, 00052 Cerveteri RM, Italia  ",987176,,,,
METROPOLITAN MUSEO,Aziende CerveteriMusei Cerveteri,"Via Agillina, 44, 00052 Cerveteri RM, Italia  ",987172,324 886 7879,,,
Belvedere,Aziende CerveteriMusei Cerveteri,"Via Bastioni, 66, 00052 Cerveteri RM, Italia  ",987173,,,,
Grandioso Tumulo Di Campo Della Fiera,Aziende CerveteriMusei Cerveteri,"Via della Necropoli, 48-50, 00052 Cerveteri RM, Italia  ",987174,,,,
Kelevra tattoo shop,Aziende CerveteriCentri commerciali Cerveteri,"Viale Alessandro Manzoni, 52, 00052 Cerveteri RM, Italia  ",985960,06 995 1439,,,
Bioleè,Aziende CerveteriOsterie CerveteriNegozi Cerveteri,"Piazza Risorgimento, 18, 00052 Cerveteri RM, Italia  ",984842,06 9724 2192,,,
Scuola Elementare Statale Giovanni Cena,Aziende CerveteriScuole Cerveteri,"Via Settevene Palo, 338, 00052 Cerveteri RM, Italia  ",984737,,,,
studio Professione Geometra,Uffici Comunali CerveteriAziende CerveteriIstituti finanziari Cerveteri,"Via Settevene Palo, 185, 00052 Cerveteri RM, Italia  ",984570,06 4555 9477,,,
A.S.D. Cerenova,Aziende CerveteriErboristerie CerveteriPalestre Cerveteri,"Via Settevene Palo, 338, 00052 Cerveteri RM, Italia  ",962224,331 989 1654,,,
Miami Gym,Aziende CerveteriErboristerie CerveteriPalestre Cerveteri,Italia - 00052 Cerveteri (RM)  ,962223,,,,
Picatronix car,Aziende CerveteriMeccanici Auto Cerveteri,"Via Settevene Palo, 272, 00052 Cerveteri RM, Italia  ",962069,06 4555 9502,,,
Giardini della Rimembranza,Aziende CerveteriParchi Cerveteri,"00052 Cerveteri RM, Italia  ",949367,,,,
Parco Pubblico della Legnara,Aziende CerveteriParchi Cerveteri,"00052 Cerveteri RM, Italia  ",949368,,,,
Oratorio S. Michele Arcangelo,Aziende CerveteriParchi Cerveteri,"Via Armando Diaz, 00052 Cerveteri RM, Italia  ",949369,,,,
Monica Li,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Piazza Santa Maria, 5, 00052 Cerveteri RM, Italia  ",948227,06 9724 2243,,,
