name,Categoria,address,CodiceIdentificativo,telephone,email,website,iso3
AlPassoFood,Aziende RomaNegozi di Alimentari Roma,Circonvallazione Clodia  ,1067920,3245498279,info[at]alpassofood.com,www.alpassofood.com,
Centro Raccolta Orpam,Aziende Guidonia Montecelio,"Via Serra, 20, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067918,,,,
Nania Nicola,Aziende Guidonia MontecelioNegozi Guidonia MontecelioMeccanici Auto Guidonia Montecelio,"Via Serra, 16, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067917,0961 921192,,,
Municipio,Municipi Guidonia MontecelioUffici Comunali Guidonia MontecelioAziende Guidonia Montecelio,"Via Serra, 3, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067916,0961 921109,,,
Azienda Sanitaria Provinciale Di Catanzaro,Aziende Guidonia MontecelioErboristerie Guidonia Montecelio,"Via Vittorio Veneto, 16, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067910,0961 923745,,,
Studio Legale Nania Avv. Maria,Aziende Guidonia MontecelioAvvocati Guidonia Montecelio,"Via Martiri della Libertà, 10, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067911,0961 921369,,,
Farmacia,Aziende Guidonia MontecelioErboristerie Guidonia MontecelioNegozi Guidonia MontecelioFarmacie Guidonia Montecelio,"Via Kennedy, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067912,,,,
Scuola Media Statale,Aziende Guidonia MontecelioScuole Guidonia Montecelio,"Via Kennedy, 2, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067913,0961 923131,,,
Fuochi d'artificio Parrotta & Spagnolo,Aziende Guidonia MontecelioNegozi Guidonia Montecelio,"Viale Trieste, 1, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067914,380 387 5377,,,
Pirotecnica Di Parrotta Nicola,Aziende Guidonia MontecelioNegozi Guidonia MontecelioFiorai Guidonia Montecelio,"Via Asmara, 4, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067905,0961 921780,,,
